K,RMSE_treino,RMSE_teste
1,0.0035777087639996667,0.3321294928186895
2,0.1677079306413384,0.29032387087526945
3,0.19245979378099273,0.2710635021950062
4,0.20296085675568054,0.2632914734661949
5,0.21118528357818853,0.26090718656257816
7,0.2165615833608423,0.25797705166094426
10,0.22161802611701073,0.25147550974200245
15,0.22477605299497513,0.24793950337397502
20,0.2258338266292277,0.24649023510070323
30,0.22697573817970548,0.24423416905366302
50,0.22940933001950906,0.24343738086004788
100,0.2355104907005205,0.24638253684058056
200,0.24788389063228783,0.25531301901783243
500,0.28700160254639706,0.2925460252350049
800,0.3302148431697301,0.33441024616900206
