K,RMSE_treino,RMSE_teste
1,0.0035777087639996667,0.33698189862364997
2,0.16540971857783934,0.2828542911111657
3,0.193797603471021,0.265717310103969
4,0.20495601662307916,0.2594551743558027
5,0.21031643302414568,0.26129379632895994
7,0.21678302422430754,0.25597995776136495
10,0.22149327980776293,0.2502435453713041
15,0.2236329939879176,0.24725192550648953
20,0.22535170428687673,0.24526401896731612
30,0.2267772594174489,0.24187008955681596
50,0.23010841388354308,0.24331052340579107
100,0.2344366068684665,0.24378814688167252
200,0.24363990668864163,0.24997919059393736
500,0.27601231961925204,0.2816159710115887
800,0.31719769743176857,0.32115031816016465
